"Register","Description","Access","Data Type / Handling","Scale","Unit","Deye Range","Sol-Ark Status","Notes"
"200","Battery charging type/control mode","R/W","uint16","1","enum","0-1","Candidate","0 lead-acid/four-stage; 1 lithium"
"201","Equalization voltage","R/W","uint16","0.01","V","3800-6100","Candidate","Model-specific; do not write without validation"
"202","Absorption voltage","R/W","uint16","0.01","V","3800-6100","Candidate","Model-specific"
"203","Float voltage","R/W","uint16","0.01","V","3800-6100","Candidate","Model-specific"
"204","Battery capacity","R/W","uint16","1","Ah","0-2000","Candidate","Document limit likely obsolete for Sol-Ark 15K"
"205","Empty voltage","R/W","uint16","0.01","V","","Candidate","Source gives no range"
"206","Zero-export minimum power","R/W","uint16","1","W","","Candidate","Acting power minimum limit"
"207","Equalization cycle","R/W","uint16","1","day","0-90","Candidate","Lead-acid setting"
"208","Equalization duration","R/W","uint16","0.5","hour","0-20","Candidate","Raw 0-20 represents 0-10 hours"
"209","Temperature compensation","R/W","int16","1","mV/C","0-50","Candidate","Source describes signed value despite listed range"
"210","Maximum battery charge current","R/W","uint16","1","A","0-185","Candidate","Deye limit likely model-specific/obsolete"
"211","Maximum battery discharge current","R/W","uint16","1","A","0-185","Candidate","Deye limit likely model-specific/obsolete"
"212","Reserved/undefined","R/W","uint16","1","raw","","Do not use","Reserved"
"213","Battery operation basis","R/W","uint16","1","enum","0-2","Candidate","0 voltage; 1 capacity/SOC; 2 no battery per translated source"
"214","Lithium battery wake-up flag","R/W","uint16","1","enum","0-1","Candidate","Translation says 0 enabled; 1 disabled"
"215","Battery internal resistance","R/W","uint16","1","mOhm","0-6000","Candidate",""
"216","Battery charging efficiency","R/W","uint16","0.1","%","0-1000","Candidate","Example raw 983 = 98.3%; printed range appears inconsistent"
"217","Battery SOC shutdown","R/W","uint16","1","%","0-100","Candidate","Low-capacity cutoff"
"218","Battery SOC restart","R/W","uint16","1","%","0-100","Candidate","Protection recovery point"
"219","Battery SOC low-battery threshold","R/W","uint16","1","%","0-100","Candidate",""
"220","Battery voltage shutdown","R/W","uint16","0.01","V","3800-6100","Candidate","Low-voltage protection cutoff"
"221","Battery voltage restart","R/W","uint16","0.01","V","3800-6100","Candidate","Recovery threshold"
"222","Battery voltage low-battery threshold","R/W","uint16","0.01","V","3800-6100","Candidate","Discharge-depth threshold"
"223","Maximum generator runtime","Unspecified","uint16","0.1","hour","","Candidate","Access column blank in source"
"224","Generator cooling time","Unspecified","uint16","0.1","hour","","Candidate","Access column blank in source"
"225","Generator charging start voltage","R/W","uint16","0.01","V","0-6300","Candidate","Generator starts below threshold"
"226","Generator charging start SOC","R/W","uint16","1","%","0-100","Candidate","Source prints 0-6300 but describes percentage; treat range as unverified"
"227","Generator charge current to battery","R/W","uint16","1","A","0-185","Strong candidate","Likely Sol-Ark Generator Charge Current; range must be field-validated"
"228","Grid charging start voltage","R/W","uint16","0.01","V","0-6300","Candidate",""
"229","Grid charging start SOC","R/W","uint16","1","%","0-100","Candidate","Source prints 0-6300 but describes percentage"
"230","Grid charge current to battery","R/W","uint16","1","A","0-185","Candidate","Range likely model-specific"
